scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera physalus,57.872111,-153.522506,2015-06-24T12:12:27,2015,6,24,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,217,6.93,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,54.5,-137.5,2006-10-28T00:00:00,2006,10,28,1,HumanObservation,TOPP Summary of SSM-derived Telemetry,Fin whale,3049,8.86,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,54.5,-144.5,2006-12-26T00:00:00,2006,12,26,1,HumanObservation,TOPP Summary of SSM-derived Telemetry,Fin whale,3981,7.6,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.803101,-153.513512,2010-06-13T13:50:03,2010,6,13,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,125,6.92,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,55.9705,-169.8143,2010-07-02T09:55:46,2010,7,2,3,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Fin whale,719,5.18,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,56.5077,-155.4897,2003-06-28T12:15:12,2003,6,28,1,HumanObservation,NMML Gulf of Alaska marine mammal survey 2003,Fin whale,67,6.54,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,51.216,-133.9705,2011-07-08,2011,7,8,,HumanObservation,EC-CWS Eastern Canada Seabirds at Sea,Fin Whale,3259,10.0,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.872111,-153.522506,2015-06-24T12:12:27,2015,6,24,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,217,6.93,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,59.434055,-147.607445,2013-07-13T09:07:03,2013,7,13,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,115,8.13,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,59.3025,-150.148833,2015-08-21T21:01:54,2015,8,21,2,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,166,7.65,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.797909,-153.510962,2015-09-04T17:00:44,2015,9,4,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,134,6.92,Fin Whale,Balaenoptera physalus
