scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera acutorostrata,30.437803,-80.06507,2023-03-06T16:24:54,2023,3,6,1,HumanObservation,DUML vessel-based photo-id and biopsy surveys for proposed JAX USWTR site 2016-2025,Common minke whale,290,26.08,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,30.234682,-80.064016,2010-02-20T13:15,2010,2,20,1,HumanObservation,USWTR JAX Aerial Survey -Right side- 2009-2010,Common minke whale,368,26.29,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,30.08511,-80.15292,2019-12-15T12:07:00,2019,12,15,1,HumanObservation,AMAPPS Southeast Aerial Cruise Winter 2019-2020,Common minke whale,292,26.29,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,30.101772,-80.05119,2009-02-26T15:26,2009,2,26,1,HumanObservation,USWTR JAX Aerial Survey -Right side- 2009-2010,Common minke whale,414,26.43,Minke Whale,Balaenoptera acutorostrata
