scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,32.528,-122.7575,2014-11-29T15:58:36,2014,11,29,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,4160,15.87,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,37.6622,-125.5988,2014-11-03T15:01:21,2014,11,3,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,4284,13.82,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,34.205,-126.480667,2008-10-01T15:34:12,2008,10,1,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Sperm whale,,4658,15.95,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,48.386167,-126.667167,2018-07-04T12:04:53,2018,7,4,6,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Sperm whale,,2074,11.35,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.105,-117.703333,2023-06-04T14:27:17,2023,6,4,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,809,17.67,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,41.801667,-128.238833,2001-10-24T08:32:29,2001,10,24,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1617",Sperm whale,,3106,13.5,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,42.7457,-127.0373,2014-09-13T10:02:10,2014,9,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,2803,13.04,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,45.9517,-129.6888,2014-08-18T15:14:41,2014,8,18,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,2454,12.13,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,35.733667,-122.264,2018-08-28T18:12:47,2018,8,28,7,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Sperm whale,,2821,13.91,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.0855,-125.433833,2014-11-04T11:42:54,2014,11,4,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,3983,13.53,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.0,-119.0,2005-08-10T18:34:54,2005,8,10,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,1758,16.52,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,40.204667,-127.918,2005-08-09T07:56:53,2005,8,9,21,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Sperm whale,,4501,13.88,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,36.8575,-124.1548,2014-11-21T07:26:01,2014,11,21,16,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,3136,13.7,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.0,-119.0,2005-08-23T10:26:02,2005,8,23,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,1758,16.52,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.930167,-121.1135,2001-07-31T15:32:43,2001,7,31,36,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1617",Sperm whale,,3234,15.19,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,39.2125,-129.316,2001-09-13T09:12:03,2001,9,13,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1617",Sperm whale,,4505,14.72,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,37.634413,-123.07869,2023-09-02T12:13:20,2023,9,2,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,507,12.39,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.538,-125.5698,2014-10-28T12:49:13,2014,10,28,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,4456,16.79,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,36.4583,-124.292,2014-11-21T12:37:48,2014,11,21,5,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,3996,14.05,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.515,-118.214167,2016-12-05T16:28:24,2016,12,5,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,612,17.23,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,37.3045,-127.314,2005-09-03T09:36:00,2005,9,3,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Sperm whale,,4650,14.72,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.617,-117.726167,2011-05-14T10:36:14,2011,5,14,20,HumanObservation,"SOCAL KB04, FZN1, FZN2 Marine Mammal Aerial Monitoring 2011-2012",Sperm whale,,392,17.64,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.515,-118.214167,2016-12-05T16:54:40,2016,12,5,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,612,17.23,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,31.8455,-118.339167,2008-11-29T09:41:44,2008,11,29,37,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Sperm whale,,1577,16.94,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,48.639753,-123.177235,2018-03-31T18:36:35,2018,3,31,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,54,9.98,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,41.240667,-125.984333,2005-07-09T13:12:34,2005,7,9,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1627",Sperm whale,,3097,12.68,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,34.688033,-121.573302,2006-07-23T07:43,2006,7,23,2,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,1005,14.33,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,41.366,-129.0002,2014-09-07T08:03:31,2014,9,7,2,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,3280,13.82,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.0,-119.0,2005-08-03T17:15:49,2005,8,3,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,1758,16.52,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.530589,-120.825374,2005-07-11T14:18,2005,7,11,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,3385,14.76,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.0855,-125.4338,2014-11-04T07:29:13,2014,11,4,8,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,3983,13.53,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,32.528,-122.7575,2014-11-29T16:11:38,2014,11,29,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,4160,15.87,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.5265,-129.378,2005-09-19T16:34:25,2005,9,19,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Sperm whale,,4800,14.97,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.0,-119.0,2005-07-10T19:05:13,2005,7,10,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,1758,16.52,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,45.9517,-129.6888,2014-08-18T15:08:18,2014,8,18,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,2454,12.13,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,37.69,-127.96,2001-09-28,2001,9,28,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,4731,14.82,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.005333,-127.066667,2005-09-02T16:52:17,2005,9,2,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Sperm whale,,4462,14.33,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.205488,-121.511975,2008-01-22T15:49,2008,1,22,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,3887,15.1,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,42.5735,-127.1317,2014-09-13T07:33:39,2014,9,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Sperm whale,,2796,13.08,Sperm Whale,Physeter macrocephalus
