scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Balaenoptera acutorostrata,33.086057,-117.824529,2013-03-28T11:42:39,2013,3,28,1,HumanObservation,SOCAL FZN4 Marine Mammal Aerial Monitoring 2013,Common minke whale,,827,17.66,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.527639,-117.853069,2016-10-01T12:48,2016,10,1,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,439,17.41,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.43,-117.7,2020-06-27,2020,6,27,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,45,17.54,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,36.649107,-121.928095,2022-07-13T11:44:14,2022,7,13,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,40,12.85,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.739133,-117.771262,2008-03-25T10:00,2008,3,25,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,294,17.6,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.378023,-122.899961,2023-07-08T11:47,2023,7,8,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,92,9.47,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.370462,-118.033281,2007-04-06T14:38,2007,4,6,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,699,17.46,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,36.801082,-121.909093,2024-07-23T12:19:38,2024,7,23,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,129,12.78,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.773022,-118.712959,2006-04-08T17:30,2006,4,8,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,881,16.86,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.327892,-117.701317,2021-08-20T15:09:56,2021,8,20,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,659,17.61,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.5029,-119.659476,2001-10-29T06:40:12,2001,10,29,2,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Common minke whale,,1270,15.62,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,36.328,-122.006167,2018-08-27T10:05:44,2018,8,27,1,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Common minke whale,,118,13.0,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.562156,-118.039883,2017-10-02T16:33:45,2017,10,2,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,213,17.34,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,35.419167,-125.454667,2008-11-07T08:45:06,2008,11,7,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Common minke whale,,4560,15.03,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.4897,-117.7902,2023-05-22T13:02,2023,5,22,1,HumanObservation,Cuvier's Beaked Whale and Fin Whale Surveys at the Southern California Offshore Anti-submarine Warfare Range (SOAR),Common minke whale,,340,17.53,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.746977,-119.285492,2006-04-07T06:38,2006,4,7,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,370,15.93,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.281847,-118.058347,2021-05-28T12:44:44,2021,5,28,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,834,17.47,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.518271,-117.970421,2006-04-08T05:51,2006,4,8,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,400,17.39,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,37.858095,-122.654457,2018-07-15,2018,7,15,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,23,12.62,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.20467,-123.30583,2020-08-09T02:57:47,2020,8,9,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,72,9.35,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,34.811667,-121.724833,2004-11-02T18:15:21,2004,11,2,2,HumanObservation,Lamont-Doherty/LGL/NSF cruises,Common minke whale,,1156,14.32,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,36.939,-121.984,2024-07-19T11:48:38,2024,7,19,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,18,12.71,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.9377,-119.0047,2019-10-06T09:55,2019,10,6,1,HumanObservation,Cuvier's Beaked Whale and Fin Whale Surveys at the Southern California Offshore Anti-submarine Warfare Range (SOAR),Common minke whale,,1629,16.33,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,36.6405,-123.913,2001-11-27T16:42:34,2001,11,27,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1619",Common minke whale,,3889,13.79,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,34.21061,-119.449969,2005-11-16T11:07,2005,11,16,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - off effort,Common minke whale,,57,15.74,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.589095,-118.344347,2023-06-30T13:55:01,2023,6,30,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,732,17.1,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.30972,-123.113158,2024-08-14T06:55:44,2024,8,14,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,98,9.41,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.675943,-118.33786,2018-07-29T13:38:42,2018,7,29,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,445,17.08,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.433429,-117.788544,2024-04-06T14:21:29,2024,4,6,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,645,17.53,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.426045,-119.689762,2001-10-29T06:25:36,2001,10,29,1,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Common minke whale,,1332,15.69,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.502167,-119.4705,2009-09-25T13:56:29,2009,9,25,1,HumanObservation,"SWFSC Marine Mammal Survey, Delphinus 2009, Cruise 1640",Common minke whale,,1623,15.99,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.636846,-118.00415,2024-08-08T17:37:20,2024,8,8,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,12,17.26,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.424945,-119.65275,2007-11-18T15:05,2007,11,18,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Common minke whale,,113,15.51,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,34.274667,-120.1495,2018-09-06T08:58:55,2018,9,6,1,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Common minke whale,,543,14.78,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.410061,-122.978886,2024-09-23T14:45:07,2024,9,23,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,23,9.51,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,35.524667,-122.293333,2018-08-29T08:38:55,2018,8,29,2,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Common minke whale,,3655,14.0,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.923333,-119.661667,2018-09-13T12:16:44,2018,9,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Common minke whale,,568,15.83,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.1441,-117.5702,2020-10-02T11:00,2020,10,2,1,HumanObservation,Cuvier's Beaked Whale and Fin Whale Surveys at the Southern California Offshore Anti-submarine Warfare Range (SOAR),Common minke whale,,695,17.7,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,37.81385,-122.54165,2024-07-14T09:19,2024,7,14,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,28,12.5,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,34.675833,-120.687167,2009-09-13T14:37:23,2009,9,13,1,HumanObservation,"SWFSC Marine Mammal Survey, Delphinus 2009, Cruise 1640",Common minke whale,,45,13.66,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.6857,-118.3006,2016-05-14T16:42,2016,5,14,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,33,17.11,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.463667,-117.777,2009-09-30T11:18:28,2009,9,30,1,HumanObservation,"SWFSC Marine Mammal Survey, Delphinus 2009, Cruise 1640",Common minke whale,,491,17.53,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.002333,-117.7265,2005-09-30T15:40:34,2005,9,30,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Common minke whale,,801,17.69,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,39.024667,-128.328333,2001-11-04T07:16:22,2001,11,4,1,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1617",Common minke whale,,4369,14.4,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.521333,-118.169,2009-09-28T07:43:02,2009,9,28,1,HumanObservation,"SWFSC Marine Mammal Survey, Delphinus 2009, Cruise 1640",Common minke whale,,357,17.23,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.164363,-122.831958,2024-09-21T17:53,2024,9,21,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,37,9.64,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.9985,-117.845167,2005-09-30T14:54:47,2005,9,30,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Common minke whale,,898,17.63,Minke Whale,Balaenoptera acutorostrata
