scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,19.3816,-156.36943,2010-12-08T10:22:00,2010,12,8,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys December 2010,Sperm whale,4426,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.41,-156.86,2003-08-26T08:36:05,2003,8,26,4,HumanObservation,"SWFSC Marine Mammal Survey, STAR 2003, Cruise 1623",Sperm whale,4754,25.58,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,23.61517,-155.16217,2010-08-13T19:17:59,2010,8,13,12,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1641, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4243,24.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.14711,-156.16631,2013-05-16T11:31,2013,5,16,22,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3704,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.5445,-156.17442,2009-10-20T12:06,2009,10,20,11,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2911,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.444,-157.982,2016-07-05T08:47:42,2016,7,5,10,HumanObservation,"PIFSC, Cetacean Survey, HITEC 2016, Cruise 1604, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4863,24.97,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,23.01433,-161.66283,2013-06-04T06:21:10,2013,6,4,2,HumanObservation,"PIFSC, Cetacean Survey, PACES 2013, Cruise 1303, NOAA Pacific Islands Fisheries Science Center",Sperm whale,2135,25.28,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.36717,-159.046,2010-09-07T18:25:37,2010,9,7,2,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1642, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4618,25.66,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.38383,-159.04417,2017-11-08T15:55:05,2017,11,8,1,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2017, Cruise 1705/1706, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4584,25.66,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.35645,-156.01611,2004-11-18T10:20,2004,11,18,2,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2370,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.35908,-155.94191,2006-04-21T15:08:00,2006,4,21,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys March-April 2006,Sperm whale,1168,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.35653,-156.02919,2004-11-18T10:10,2004,11,18,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2436,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.63287,-156.11608,2002-04-13T12:24,2002,4,13,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2237,25.63,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.64404,-156.34154,2006-12-06T10:06:00,2006,12,6,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys November-December 2006,Sperm whale,4660,25.6,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.40221,-155.95871,2006-04-21T15:53,2006,4,21,5,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1186,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.8243,-158.59833,2010-02-21T14:27:00,2010,2,21,1,HumanObservation,HRC SCC Vessel-Based Monitoring Surveys February 2010,Sperm whale,1298,25.4,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.78053,-156.13895,2006-04-24T08:47:00,2006,4,24,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys March-April 2006,Sperm whale,1645,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.67722,-156.06001,2021-03-12T07:43,2021,3,12,18,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,1056,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.75532,-156.25943,2008-12-06T10:02:00,2008,12,6,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys December 2008,Sperm whale,4108,25.57,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,20.50883,-154.16417,2020-02-09T17:24:57,2020,2,9,1,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,5413,24.98,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.84,-156.98,2003-08-26T11:26:48,2003,8,26,2,HumanObservation,"SWFSC Marine Mammal Survey, STAR 2003, Cruise 1623",Sperm whale,4746,25.53,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,20.5305,-155.55233,2017-07-31T16:28:39,2017,7,31,1,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2017, Cruise 1705/1706, NOAA Pacific Islands Fisheries Science Center",Sperm whale,3703,25.16,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.60197,-156.29572,2006-12-06T11:05,2006,12,6,9,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4583,25.6,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.70455,-156.22905,2005-01-31T11:40,2005,1,31,16,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3999,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.47657,-156.14441,2011-10-20T12:10,2011,10,20,25,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3084,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.66855,-158.750167,2011-02-24T12:31:02,2011,2,24,3,HumanObservation,HRC SCC Aerial Shoreline Surveys February 2011,Sperm whale,3006,25.51,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,23.28683,-160.16933,2020-01-24T08:21:34,2020,1,24,13,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4829,25.1,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.12217,-154.63583,2010-12-01T16:04:06,2010,12,1,7,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1641, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4580,24.78,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.57317,-154.2255,2010-08-14T07:54:09,2010,8,14,9,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1641, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4559,24.65,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.36368,-156.24748,2010-04-11T13:05,2010,4,11,12,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4039,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.41326,-159.97354,2014-10-08T09:24,2014,10,8,6,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4416,25.35,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.59553,-156.0923,2006-04-25T14:02:00,2006,4,25,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys March-April 2006,Sperm whale,2200,25.63,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.43853,-156.29559,2010-12-08T13:52,2010,12,8,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4169,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.75532,-156.25943,2008-12-06T10:02,2008,12,6,7,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4108,25.57,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.28789,-156.05945,2020-06-07T08:08,2020,6,7,1,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3191,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.6435,-156.7295,2017-07-15T17:45:09,2017,7,15,33,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2017, Cruise 1705/1706, NOAA Pacific Islands Fisheries Science Center",Sperm whale,5122,24.98,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.03317,-154.46917,2010-09-19T08:15:04,2010,9,19,9,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1641, NOAA Pacific Islands Fisheries Science Center",Sperm whale,5397,24.95,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.36368,-156.24748,2010-04-11T13:05:00,2010,4,11,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys April 2010,Sperm whale,4039,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,23.58383,-154.895,2010-08-13T15:10:06,2010,8,13,19,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1641, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4027,24.57,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.86987,-156.21214,2008-04-25T12:23,2008,4,25,13,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2083,25.58,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.37,-159.94675,2014-10-08T14:04,2014,10,8,9,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4338,25.35,Sperm Whale,Physeter macrocephalus
