scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera musculus,43.13717,-70.15469,2007-10-16T14:44:57,2007,10,16,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,127,11.1,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.25553,-70.1789733,2019-10-25,2019,,,,MachineObservation,,blue whale,43,11.52,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,44.479789,-66.360168,2024-06-26,2024,6,26,1,HumanObservation,Happywhale - Blue whale in North Atlantic Ocean,Blue whale,162,8.78,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,38.587503,-73.439811,2024-09-14T13:21:57,2024,9,14,1,HumanObservation,Happywhale - Blue whale in North Atlantic Ocean,Blue whale,79,16.33,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,40.17619,-69.17131,2016-07-20T15:10:40,2016,7,20,1,HumanObservation,AMAPPS Northeast Shipboard Cruise Summer 2016,Blue whale,107,14.22,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.47096,-70.242305,2019-10-17,2019,,,,MachineObservation,,blue whale,69,11.49,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,39.332598,-73.193772,2019-09-09T11:55:50,2019,9,9,1,HumanObservation,NYSDEC aerial surveys,Blue whale,60,15.25,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.47096,-70.242305,2019-10-23,2019,,,,MachineObservation,,blue whale,69,11.49,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,41.2215,-66.25842,2014-04-19T10:45:33,2014,4,19,1,HumanObservation,AMAPPS Northeast Shipboard Cruise Spring 2014,Blue whale,324,12.44,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,38.0958,-71.9099,2023-03-21T16:40:42,2023,3,21,1,HumanObservation,NOAA Ship Gordon Gunter Vessel Line-transect Survey 2023 (GU2301),Blue whale,2978,19.66,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.69141,-69.66958,2023-12-07T13:47:08,2023,12,7,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,275,11.63,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,39.83982,-71.95628,2024-07-03T10:52:26,2024,7,3,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,133,15.3,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,41.05067,-66.8435,2002-07-13T12:58:44,2002,7,13,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,76,11.94,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,38.63343,-72.92051,2013-08-12T08:25:53,2013,8,12,1,HumanObservation,AMAPPS Northeast Shipboard Cruise Summer 2013,Blue whale,1672,17.33,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,39.427,-71.766,2018-02-06T13:07:51,2018,2,6,1,HumanObservation,NYSDEC aerial surveys,Blue whale,1653,16.87,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,43.4303,-68.4996,2008-10-08T11:43:56,2008,10,8,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,169,10.15,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,40.58997,-69.10503,2002-10-21T10:49:42,2002,10,21,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,73,12.23,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.47096,-70.242305,2019-10-20,2019,,,,MachineObservation,,blue whale,69,11.49,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,37.188663,-74.849106,2018-04-11T13:15,2018,4,11,1,HumanObservation,VACAPES Offshore Study Area Observations,Blue whale,51,16.95,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,36.348175,-74.660623,2023-05-06T14:13,2023,5,6,1,HumanObservation,VACAPES Offshore Study Area Observations,Blue whale,1242,19.66,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,40.56158,-67.71449,2005-04-18T14:37:14,2005,4,18,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,105,13.52,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,40.29184,-71.08666,2024-07-22T13:23:36,2024,7,22,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,95,14.36,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.3149,-69.8966,2008-10-24T12:09:41,2008,10,24,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,195,11.68,Blue Whale,Balaenoptera musculus
Balaenoptera musculus,42.29057,-69.23798,2014-11-04T14:56:48,2014,11,4,1,HumanObservation,NEFSC Right Whale Aerial Survey,Blue whale,218,11.88,Blue Whale,Balaenoptera musculus
